time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range
1,15.86,162,12,7786496,-0.6122000000000001,0.21654272079467773,-0.03474955658894032,-0.017815887928009033,0.125341796875,-3.686551946401596,0.017414074,0.0003,38010,0.6286869280040264,0.2
1,15.46,171,11,7788544,-1.0692,0.284493088722229,-0.042385946202557534,0.002233743667602539,0.16337890625,-3.5913266003131867,0.018139891,0.0003,38020,0.6243217833340168,0.2
1,14.49,171,11,7790592,-0.5947999999999999,0.30483323335647583,-0.04028878838289529,0.07671493291854858,0.153564453125,-3.667597395181656,0.01644872,0.0003,38030,0.6842412605881691,0.2
1,14.86,167,12,7792640,-0.8822,0.3677223324775696,-0.04333488771226257,0.03277871012687683,0.150830078125,-3.591851907968521,0.021758322,0.0003,38040,0.6819813504815102,0.2
1,13.99,176,11,7794688,-0.7447999999999999,0.32617539167404175,-0.04078035494312644,0.036876022815704346,0.1490234375,-3.602266180515289,0.018282413,0.0003,38050,0.6834422945976257,0.2
1,14.72,186,11,7796736,-0.8944000000000001,0.3569067120552063,-0.04145325068384409,0.09863355755805969,0.17060546875,-3.571014201641083,0.016092945,0.0003,38060,0.6946183383464813,0.2
1,13.96,180,11,7798784,-0.7942000000000001,0.2774047255516052,-0.04283018282148987,0.12377969920635223,0.157373046875,-3.5686330080032347,0.018073106,0.0003,38070,0.7818665564060211,0.2
1,13.97,182,11,7800832,-0.6944,0.300679087638855,-0.042537743551656605,0.14178863167762756,0.14951171875,-3.584721827507019,0.016615793,0.0003,38080,0.7731199264526367,0.2
1,14.94,181,11,7802880,-0.8187999999999999,0.3213728666305542,-0.04548659082502127,0.10151633620262146,0.172802734375,-3.5814617216587066,0.020014837,0.0003,38090,0.758265832066536,0.2
1,14.9,175,11,7804928,-0.6830000000000002,0.35853010416030884,-0.04806490242481232,0.06933951377868652,0.201611328125,-3.557136929035187,0.022194635,0.0003,38100,0.7116865113377571,0.2
1,16.65,158,12,7806976,-0.8079999999999999,0.31966066360473633,-0.044267413613852113,0.12040114402770996,0.174853515625,-3.544824904203415,0.01744275,0.0003,38110,0.8093069180846214,0.2
1,8.53,157,13,7809024,-0.7206000000000001,0.2782018184661865,-0.04660385944880545,0.07167446613311768,0.159716796875,-3.613684606552124,0.021943701,0.0003,38120,0.6895078301429749,0.2
1,13.69,152,13,7811072,-0.3038,0.2135634422302246,-0.03219172267708927,0.4392325282096863,0.1390625,-2.879140305519104,0.013232541,0.0003,38130,1.5443042069673538,0.2
1,9.85,153,13,7813120,-0.47200000000000003,0.2295427918434143,-0.03857997437007725,0.13523268699645996,0.13701171875,-3.4716330587863924,0.018135043,0.0003,38140,0.7815838366746902,0.2
1,14.25,155,13,7815168,-0.015000000000000024,0.30004775524139404,-0.032490253704600035,0.2965824007987976,0.151611328125,-3.040859490633011,0.018924776,0.0003,38150,1.0004819497466086,0.2
1,16.4,151,13,7817216,-0.20300000000000004,0.15460318326950073,-0.034305431856773795,0.08183085918426514,0.118505859375,-3.410131126642227,0.014744328,0.0003,38160,0.6747215941548348,0.2
1,14.35,155,13,7819264,-0.352,0.05753457546234131,-0.03859788060653955,0.03142163157463074,0.137744140625,-3.500580370426178,0.019695612,0.0003,38170,0.644015046954155,0.2
1,13.34,150,13,7821312,0.2032,0.3422127366065979,-0.045316124823875724,0.019012540578842163,0.1734375,-3.5092650413513184,0.020777835,0.0003,38180,0.5371830694377422,0.2
1,11.71,153,13,7823360,0.10079999999999999,0.06879228353500366,-0.03913012305274606,0.0675579160451889,0.161279296875,-3.3819309294223787,0.021882419,0.0003,38190,0.6641452714800835,0.2
1,14.12,175,11,7825408,-0.2674000000000001,0.14466458559036255,-0.040768250916153194,0.07981491088867188,0.17275390625,-3.2739914774894716,0.0176819,0.0003,38200,0.758893632888794,0.2
1,12.57,191,10,7827456,0.1736,0.17452538013458252,-0.04332948608789593,0.0876702070236206,0.150830078125,-3.4722842276096344,0.01955196,0.0003,38210,0.6861924007534981,0.2
1,13.87,188,10,7829504,-0.13240000000000002,0.1379123330116272,-0.039409279078245166,0.07717204093933105,0.159033203125,-3.3102550983428953,0.019257922,0.0003,38220,0.6754150867462159,0.2
1,11.57,189,10,7831552,-0.16139999999999996,0.19518405199050903,-0.04858531665522605,-0.008668959140777588,0.196435546875,-3.574209851026535,0.021336563,0.0003,38230,0.5922201767563819,0.2
1,12.91,189,10,7833600,-0.22820000000000004,0.21066880226135254,-0.035446052975021305,0.13819697499275208,0.149755859375,-3.2213452100753783,0.014033297,0.0003,38240,0.7581641748547554,0.2
1,13.32,177,11,7835648,-0.08640000000000002,0.18416577577590942,-0.044337982463184746,0.06998801231384277,0.167724609375,-3.507876193523407,0.019421475,0.0003,38250,0.7487085506319999,0.2
1,13.3,192,10,7837696,-0.006000000000000003,0.2347211241722107,-0.0467646166915074,0.060881614685058594,0.17119140625,-3.5205555140972136,0.021359995,0.0003,38260,0.6600593268871308,0.2
1,14.15,186,10,7839744,-0.10800000000000001,0.20535808801651,-0.045473573973868045,-0.006177529692649841,0.170703125,-3.430008429288864,0.016835002,0.0003,38270,0.5644612900912762,0.2
1,15.97,188,10,7841792,-0.05939999999999997,0.15924108028411865,-0.042684866883791986,0.033475518226623535,0.160888671875,-3.458693504333496,0.021622216,0.0003,38280,0.6763185203075409,0.2
1,13.28,188,10,7843840,-0.25559999999999994,0.21873313188552856,-0.04573480864055455,-0.000977635383605957,0.163232421875,-3.5171254932880402,0.018438527,0.0003,38290,0.5442812830209732,0.2
1,11.43,188,10,7845888,0.006399999999999985,0.15651172399520874,-0.04124287785962224,0.11086152493953705,0.164111328125,-3.3823148250579833,0.017404884,0.0003,38300,0.7027673646807671,0.2
1,12.37,186,10,7847936,0.13759999999999997,0.1982784867286682,-0.04550829506479204,0.011593520641326904,0.169580078125,-3.339005082845688,0.01848764,0.0003,38310,0.6350649923086167,0.2
1,13.41,188,10,7849984,0.12180000000000002,0.18956011533737183,-0.04328188297804445,0.008471697568893433,0.1634765625,-3.293411463499069,0.017217647,0.0003,38320,0.580429469794035,0.2
1,13.17,187,10,7852032,0.10159999999999998,0.30066120624542236,-0.04580560866743326,0.0005039572715759277,0.171044921875,-3.360385316610336,0.019524453,0.0003,38330,0.5079210437834263,0.2
1,13.06,189,10,7854080,0.12380000000000005,0.1145169734954834,-0.03709219787269831,0.14503444731235504,0.150146484375,-3.2647412598133085,0.016170222,0.0003,38340,0.7109214797616005,0.2
1,11.29,186,10,7856128,0.044199999999999996,0.2775838375091553,-0.04426697422750294,-0.06356151401996613,0.18212890625,-3.4117565989494323,0.019800581,0.0003,38350,0.5023675538599491,0.2
1,14.26,188,10,7858176,0.0898,0.37873417139053345,-0.04173683557892218,0.06503814458847046,0.16337890625,-3.2774968683719634,0.019187618,0.0003,38360,0.5989243626594544,0.2
1,12.04,188,10,7860224,-0.05579999999999998,0.2363264560699463,-0.043484080419875684,-0.05890780687332153,0.15673828125,-3.4359392523765564,0.019421281,0.0003,38370,0.47160916328430175,0.2
1,5.18,185,11,7862272,0.3214000000000001,0.3148028254508972,-0.042207606602460146,0.055688440799713135,0.15244140625,-3.2855799734592437,0.016229143,0.0003,38380,0.6057621240615845,0.2
1,9.66,188,10,7864320,0.2768,0.1494351029396057,-0.022094525001011788,0.3197423219680786,0.153759765625,-1.7863161712884903,0.018653724,0.0003,38390,0.8787415742874145,0.2
1,15.02,185,11,7866368,-0.11039999999999997,0.163313090801239,-0.03609206007095054,0.025885358452796936,0.17236328125,-3.1210331857204436,0.022113655,0.0003,38400,0.6284401550889015,0.2
1,10.19,182,11,7868416,-0.6588,0.2634887099266052,-0.04351783732417971,-0.008679121732711792,0.207568359375,-3.477879726886749,0.022541199,0.0003,38410,0.5272117860615253,0.2
1,10.76,181,11,7870464,-0.15019999999999997,0.13134914636611938,-0.027290582796558736,0.3936285376548767,0.102587890625,-3.140190267562866,0.012765685,0.0003,38420,1.2978664815425873,0.2
1,13.79,186,10,7872512,-0.2808,0.1397416591644287,-0.036271129676606506,0.2556900978088379,0.137158203125,-3.1252877593040465,0.016246952,0.0003,38430,1.003923514485359,0.2
1,10.78,178,11,7874560,-0.6256,0.32890236377716064,-0.04475348212290555,0.00782214105129242,0.160595703125,-3.404151237010956,0.017723408,0.0003,38440,0.6374926403164863,0.2
1,14.4,181,11,7876608,0.12200000000000001,0.23859727382659912,-0.037392518226988615,0.29018306732177734,0.160205078125,-3.1077028572559358,0.015791541,0.0003,38450,1.0592172503471375,0.2
1,9.15,327,6,7878656,0.7770000000000001,0.11741822957992554,-0.04248479747911915,-0.024251103401184082,0.16318359375,-3.4639869809150694,0.01789969,0.0003,38460,0.5173230193555355,0.2
1,9.28,320,6,7880704,0.6744,0.0772666335105896,-0.041752443718723956,-0.16737216711044312,0.175,-2.98706391453743,0.016418189,0.0003,38470,0.11067862901836634,0.2
1,9.38,329,6,7882752,0.6624000000000001,0.1541258692741394,-0.045786860515363514,-0.16043518483638763,0.185888671875,-2.9869588792324064,0.022630982,0.0003,38480,0.1472313567996025,0.2
1,7.59,329,6,7884800,0.8482000000000001,0.1795927882194519,-0.0372033967403695,-0.12134067714214325,0.187109375,-2.9947917759418488,0.024643593,0.0003,38490,0.19564074091613293,0.2
1,11.81,189,10,7886848,-1.3161999999999998,0.31012314558029175,-0.04774072677828371,-0.17391064763069153,0.196923828125,-2.959507864713669,0.02060855,0.0003,38500,0.10516387112438678,0.2
1,14.28,175,11,7888896,-0.7655999999999998,0.08656233549118042,-0.029104278655722737,0.28616026043891907,0.098193359375,-3.4531320214271544,0.015751092,0.0003,38510,1.2309292450547218,0.2
1,14.88,189,10,7890944,-1.2726000000000002,0.14321273565292358,-0.042598648939747366,0.16979090869426727,0.146533203125,-3.592220628261566,0.01537217,0.0003,38520,0.9418659448623657,0.2
