rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/loss,train/clip_fraction,train/approx_kl,train/n_updates,train/learning_rate
15.49,0.9687,27322368,1,10,188,-0.02739153888542205,1.9385585904121398,-2.802038496732712,0.09347838163375854,0.2,0.7022873163223267,0.131494140625,0.014704369,133400,0.0003
13.58,-0.1255,27324416,1,11,184,-0.03626807786058635,1.6340213268995285,-2.893134731054306,0.1654079556465149,0.2,0.5649340748786926,0.166259765625,0.019823534,133410,0.0003
16.01,0.9534999999999999,27326464,1,11,185,-0.03066141069866717,2.310354197025299,-2.7842615246772766,0.1512255072593689,0.2,0.7861028909683228,0.131103515625,0.016346365,133420,0.0003
17.3,1.0667,27328512,1,10,188,-0.02707781579811126,1.6325668036937713,-2.903257668018341,0.13435471057891846,0.2,0.5864332318305969,0.118505859375,0.01716277,133430,0.0003
16.05,1.5625000000000002,27330560,1,10,187,-0.03362494932953268,1.7326438665390014,-2.9270826995372774,0.2976459860801697,0.2,0.6343052983283997,0.118408203125,0.015923316,133440,0.0003
16.85,1.3883,27332608,1,10,188,-0.03517187123652547,1.9443736523389816,-2.9122873544692993,0.07307815551757812,0.2,0.7631052732467651,0.158251953125,0.020792965,133450,0.0003
14.53,0.9453999999999999,27334656,1,10,189,-0.03707739708479494,1.6724371194839478,-2.928488129377365,0.10365104675292969,0.2,0.6247206330299377,0.1779296875,0.023328345,133460,0.0003
13.69,1.6029000000000002,27336704,1,6,336,-0.03588482146151364,1.7901145935058593,-2.8550256073474882,0.15201061964035034,0.2,0.6250701546669006,0.14853515625,0.01932917,133470,0.0003
14.28,1.5330000000000004,27338752,1,6,327,-0.03145606407197192,0.8498359933495522,-2.8904173731803895,0.22206038236618042,0.2,0.22850549221038818,0.190380859375,0.029745027,133480,0.0003
14.75,1.6038,27340800,1,6,329,-0.0353957136394456,0.9504674300551414,-2.903274804353714,0.25096821784973145,0.2,0.19072291254997253,0.209228515625,0.020564705,133490,0.0003
14.68,0.31079999999999997,27342848,1,10,189,-0.034332067938521504,1.1359563276171685,-2.952728050947189,0.18235689401626587,0.2,0.2695331275463104,0.18134765625,0.018227201,133500,0.0003
13.65,0.33349999999999996,27344896,1,11,175,-0.02378779122373089,1.8442189007997514,-2.9363272190093994,-0.040894269943237305,0.2,0.5347169041633606,0.092138671875,0.014303192,133510,0.0003
14.17,0.0791,27346944,1,11,185,-0.03533556491602212,1.5646790325641633,-2.903984123468399,0.16528451442718506,0.2,0.5479550361633301,0.191845703125,0.022676092,133520,0.0003
14.38,-0.052299999999999985,27348992,1,10,189,-0.03827119069173932,1.7652441680431366,-2.990354174375534,0.21053433418273926,0.2,0.6213560700416565,0.182568359375,0.022837639,133530,0.0003
15.68,0.09660000000000006,27351040,1,10,188,-0.0363105972413905,1.5764859735965728,-2.9927869737148285,0.1813790202140808,0.2,0.565505862236023,0.16884765625,0.017879354,133540,0.0003
15.79,0.20039999999999997,27353088,1,10,187,-0.035884678037837146,1.7433540046215057,-3.0550454795360564,0.15695184469223022,0.2,0.5218804478645325,0.163818359375,0.016678866,133550,0.0003
15.66,0.2085,27355136,1,11,180,-0.03958829175680876,1.8046764522790908,-3.0385761499404906,0.12513947486877441,0.2,0.5858273506164551,0.17890625,0.020983081,133560,0.0003
14.54,-0.021199999999999993,27357184,1,11,182,-0.03689350746572018,1.671297225356102,-3.0546171188354494,0.150945782661438,0.2,0.5447201728820801,0.15654296875,0.019669928,133570,0.0003
15.96,0.11330000000000001,27359232,1,10,187,-0.03483023853041232,1.5276164025068284,-3.01467159986496,0.20440584421157837,0.2,0.6043837070465088,0.162109375,0.021851085,133580,0.0003
15.34,-0.06949999999999999,27361280,1,10,188,-0.03903379050898366,1.7899749815464019,-3.055273938179016,0.1459289789199829,0.2,0.6249437928199768,0.179638671875,0.018866912,133590,0.0003
13.94,0.5089000000000001,27363328,1,10,188,-0.03771851748460904,1.696219190955162,-3.0629924118518828,0.16189783811569214,0.2,0.5111607313156128,0.179248046875,0.018982245,133600,0.0003
15.13,0.059999999999999984,27365376,1,10,188,-0.02628683941438794,2.1179685086011886,-2.931183385848999,0.054226815700531006,0.2,0.7330608367919922,0.10625,0.01690003,133610,0.0003
15.42,0.42340000000000005,27367424,1,10,188,-0.03601029283599928,2.151375511288643,-2.9422400116920473,0.1647130846977234,0.2,0.8560130000114441,0.169189453125,0.019736836,133620,0.0003
15.42,0.9409000000000001,27369472,1,10,192,-0.03918351521715522,1.9066974520683289,-2.9120062589645386,0.18429291248321533,0.2,0.6969256401062012,0.18203125,0.021843497,133630,0.0003
15.91,0.4163999999999999,27371520,1,10,189,-0.03626507401932031,1.645872923731804,-2.8938004434108735,0.18094301223754883,0.2,0.7085725665092468,0.1712890625,0.018622871,133640,0.0003
16.63,0.7214999999999999,27373568,1,10,189,-0.032352750399149956,1.9306192815303802,-3.0398422062397,0.19355285167694092,0.2,0.7148807048797607,0.132080078125,0.018312346,133650,0.0003
15.17,1.8081,27375616,1,10,189,-0.031683431821875274,1.3235802680253983,-2.9547925889492035,0.24634671211242676,0.2,0.4155735671520233,0.14326171875,0.017978895,133660,0.0003
15.25,0.6862999999999999,27377664,1,10,188,-0.038102805335074666,1.6422456055879593,-2.870706593990326,0.0415574312210083,0.2,0.5425000190734863,0.13876953125,0.018738165,133670,0.0003
14.65,1.4372999999999998,27379712,1,10,187,-0.025732574495486916,1.7301253616809844,-2.875522089004517,0.08073204755783081,0.2,0.6406311988830566,0.097509765625,0.015989974,133680,0.0003
16.48,1.6003,27381760,1,10,189,-0.033151676040142776,1.260152217745781,-2.862938368320465,0.07891780138015747,0.2,0.4093635678291321,0.130029296875,0.017506687,133690,0.0003
15.69,0.489,27383808,1,10,186,-0.043705210625194016,1.2591223508119582,-2.9610869348049165,0.1652160882949829,0.2,0.3527204990386963,0.181982421875,0.022757966,133700,0.0003
15.68,0.7741000000000001,27385856,1,10,189,-0.0270584287121892,1.7102792531251907,-2.9519576013088225,0.011137068271636963,0.2,0.5372018814086914,0.116845703125,0.015670348,133710,0.0003
15.03,1.8983999999999996,27387904,1,10,189,-0.03485902160173282,1.6875969648361206,-2.889120948314667,0.11656469106674194,0.2,0.5539233088493347,0.155126953125,0.019338943,133720,0.0003
15.85,0.49329999999999985,27389952,1,10,189,-0.030930805625393985,1.1343526616692543,-2.9217790067195892,0.09520995616912842,0.2,0.341670423746109,0.12626953125,0.019164043,133730,0.0003
16.14,0.9500000000000003,27392000,1,10,188,-0.034737049136310816,1.7709227740764617,-2.9831239521503448,0.2993016839027405,0.2,0.5977118015289307,0.150244140625,0.019113943,133740,0.0003
9.92,-1.7010000000000005,27394048,1,10,186,-0.03483597743324936,1.880296489596367,-2.9993769824504852,0.1499006748199463,0.2,0.6624397039413452,0.13798828125,0.017368248,133750,0.0003
16.46,0.38049999999999995,27396096,1,10,187,-0.0190036918153055,3.3026481091976168,-2.5147671580314634,0.03043687343597412,0.2,1.0914182662963867,0.10576171875,0.019176366,133760,0.0003
16.55,0.9847000000000001,27398144,1,10,188,-0.028926756395958365,2.080186942219734,-3.007860553264618,0.05911219120025635,0.2,0.7941876649856567,0.110986328125,0.01694192,133770,0.0003
16.72,1.0247999999999997,27400192,1,11,184,-0.035065741697326305,1.5631450057029723,-2.9901178658008574,0.15016567707061768,0.2,0.6431211829185486,0.1515625,0.021056173,133780,0.0003
14.94,0.4286000000000001,27402240,1,10,186,-0.037449639686383304,1.6742989033460618,-2.95306134223938,0.10720646381378174,0.2,0.5868688821792603,0.1673828125,0.020584274,133790,0.0003
15.05,0.3898000000000001,27404288,1,10,188,-0.027410741616040468,1.7887007296085358,-2.9471369683742523,-0.00021541118621826172,0.2,0.6224794387817383,0.1248046875,0.018560603,133800,0.0003
