[STEP 157] | timesteps=0 | ep_rew_mean=-0.778 | ep_len_mean=13.640 | time_elapsed=10
[STEP 158] | timesteps=0 | ep_rew_mean=-0.896 | ep_len_mean=14.030 | time_elapsed=10
[STEP 159] | timesteps=0 | ep_rew_mean=-1.038 | ep_len_mean=14.420 | time_elapsed=10
[STEP 160] | timesteps=0 | ep_rew_mean=-0.900 | ep_len_mean=13.770 | time_elapsed=10
[STEP 161] | timesteps=0 | ep_rew_mean=-0.720 | ep_len_mean=15.250 | time_elapsed=10
[STEP 162] | timesteps=0 | ep_rew_mean=-0.798 | ep_len_mean=16.140 | time_elapsed=11
[STEP 163] | timesteps=0 | ep_rew_mean=0.060 | ep_len_mean=18.020 | time_elapsed=10
[STEP 164] | timesteps=0 | ep_rew_mean=0.115 | ep_len_mean=10.740 | time_elapsed=11
[STEP 165] | timesteps=0 | ep_rew_mean=0.285 | ep_len_mean=13.240 | time_elapsed=10
[STEP 166] | timesteps=0 | ep_rew_mean=0.193 | ep_len_mean=17.830 | time_elapsed=11
[STEP 167] | timesteps=0 | ep_rew_mean=0.331 | ep_len_mean=17.450 | time_elapsed=10
[STEP 168] | timesteps=0 | ep_rew_mean=0.038 | ep_len_mean=16.830 | time_elapsed=11
[STEP 169] | timesteps=0 | ep_rew_mean=0.312 | ep_len_mean=10.140 | time_elapsed=11
[STEP 170] | timesteps=0 | ep_rew_mean=0.497 | ep_len_mean=12.650 | time_elapsed=10
[STEP 171] | timesteps=0 | ep_rew_mean=0.388 | ep_len_mean=16.580 | time_elapsed=10
[STEP 172] | timesteps=0 | ep_rew_mean=0.299 | ep_len_mean=16.570 | time_elapsed=10
[STEP 173] | timesteps=0 | ep_rew_mean=0.252 | ep_len_mean=9.410 | time_elapsed=11
[STEP 174] | timesteps=0 | ep_rew_mean=0.230 | ep_len_mean=9.990 | time_elapsed=11
[STEP 175] | timesteps=0 | ep_rew_mean=-0.064 | ep_len_mean=9.950 | time_elapsed=10
[STEP 176] | timesteps=0 | ep_rew_mean=0.184 | ep_len_mean=9.780 | time_elapsed=10
[STEP 177] | timesteps=0 | ep_rew_mean=0.546 | ep_len_mean=11.220 | time_elapsed=10
[STEP 178] | timesteps=0 | ep_rew_mean=0.536 | ep_len_mean=10.680 | time_elapsed=10
[STEP 179] | timesteps=0 | ep_rew_mean=0.624 | ep_len_mean=11.540 | time_elapsed=10
[STEP 180] | timesteps=0 | ep_rew_mean=0.292 | ep_len_mean=15.880 | time_elapsed=10
[STEP 181] | timesteps=0 | ep_rew_mean=0.560 | ep_len_mean=10.760 | time_elapsed=10
[STEP 182] | timesteps=0 | ep_rew_mean=0.550 | ep_len_mean=10.980 | time_elapsed=10
[STEP 183] | timesteps=0 | ep_rew_mean=0.600 | ep_len_mean=10.000 | time_elapsed=10
[STEP 184] | timesteps=0 | ep_rew_mean=0.349 | ep_len_mean=14.060 | time_elapsed=10
[STEP 185] | timesteps=0 | ep_rew_mean=0.351 | ep_len_mean=9.930 | time_elapsed=10
[STEP 186] | timesteps=0 | ep_rew_mean=0.505 | ep_len_mean=9.750 | time_elapsed=10
[STEP 187] | timesteps=0 | ep_rew_mean=0.485 | ep_len_mean=13.740 | time_elapsed=10
[STEP 188] | timesteps=0 | ep_rew_mean=0.240 | ep_len_mean=13.490 | time_elapsed=10
[STEP 189] | timesteps=0 | ep_rew_mean=0.249 | ep_len_mean=10.530 | time_elapsed=10
[STEP 190] | timesteps=0 | ep_rew_mean=0.416 | ep_len_mean=13.950 | time_elapsed=10
[STEP 191] | timesteps=0 | ep_rew_mean=-0.448 | ep_len_mean=9.130 | time_elapsed=10
[STEP 192] | timesteps=0 | ep_rew_mean=-0.067 | ep_len_mean=10.090 | time_elapsed=10
[STEP 193] | timesteps=0 | ep_rew_mean=0.516 | ep_len_mean=11.700 | time_elapsed=10
[STEP 194] | timesteps=0 | ep_rew_mean=-0.174 | ep_len_mean=10.180 | time_elapsed=10
[STEP 195] | timesteps=0 | ep_rew_mean=-0.195 | ep_len_mean=9.500 | time_elapsed=10
[STEP 196] | timesteps=0 | ep_rew_mean=0.357 | ep_len_mean=15.140 | time_elapsed=10
[STEP 197] | timesteps=0 | ep_rew_mean=0.345 | ep_len_mean=16.990 | time_elapsed=5
[STEP 198] | timesteps=0 | ep_rew_mean=0.484 | ep_len_mean=16.030 | time_elapsed=6
[STEP 199] | timesteps=0 | ep_rew_mean=0.490 | ep_len_mean=15.500 | time_elapsed=6
[STEP 200] | timesteps=0 | ep_rew_mean=0.615 | ep_len_mean=14.250 | time_elapsed=6
[STEP 201] | timesteps=0 | ep_rew_mean=-1.349 | ep_len_mean=9.210 | time_elapsed=10
[STEP 202] | timesteps=0 | ep_rew_mean=-1.174 | ep_len_mean=10.440 | time_elapsed=11
[STEP 203] | timesteps=0 | ep_rew_mean=-0.820 | ep_len_mean=12.270 | time_elapsed=10
[STEP 204] | timesteps=0 | ep_rew_mean=-0.948 | ep_len_mean=12.920 | time_elapsed=11
[STEP 205] | timesteps=0 | ep_rew_mean=-0.861 | ep_len_mean=13.780 | time_elapsed=10
[STEP 206] | timesteps=0 | ep_rew_mean=-0.812 | ep_len_mean=13.330 | time_elapsed=10
[STEP 207] | timesteps=0 | ep_rew_mean=-0.871 | ep_len_mean=12.550 | time_elapsed=10
[STEP 208] | timesteps=0 | ep_rew_mean=-0.919 | ep_len_mean=12.680 | time_elapsed=10
[STEP 209] | timesteps=0 | ep_rew_mean=-0.891 | ep_len_mean=13.290 | time_elapsed=10
[STEP 210] | timesteps=0 | ep_rew_mean=-0.905 | ep_len_mean=14.020 | time_elapsed=10
[STEP 211] | timesteps=0 | ep_rew_mean=-0.767 | ep_len_mean=13.360 | time_elapsed=10
[STEP 212] | timesteps=0 | ep_rew_mean=-0.779 | ep_len_mean=12.470 | time_elapsed=10
[STEP 213] | timesteps=0 | ep_rew_mean=-0.668 | ep_len_mean=10.900 | time_elapsed=10
[STEP 214] | timesteps=0 | ep_rew_mean=0.587 | ep_len_mean=12.150 | time_elapsed=10
[STEP 215] | timesteps=0 | ep_rew_mean=-0.453 | ep_len_mean=11.130 | time_elapsed=10
[STEP 216] | timesteps=0 | ep_rew_mean=0.191 | ep_len_mean=8.470 | time_elapsed=10
[STEP 217] | timesteps=0 | ep_rew_mean=0.062 | ep_len_mean=9.380 | time_elapsed=10
[STEP 218] | timesteps=0 | ep_rew_mean=0.188 | ep_len_mean=9.600 | time_elapsed=10
[STEP 219] | timesteps=0 | ep_rew_mean=0.352 | ep_len_mean=14.920 | time_elapsed=10
[STEP 220] | timesteps=0 | ep_rew_mean=0.263 | ep_len_mean=9.330 | time_elapsed=10
[STEP 221] | timesteps=0 | ep_rew_mean=-0.276 | ep_len_mean=13.030 | time_elapsed=10
[STEP 222] | timesteps=0 | ep_rew_mean=0.287 | ep_len_mean=10.170 | time_elapsed=9
[STEP 223] | timesteps=0 | ep_rew_mean=0.516 | ep_len_mean=11.180 | time_elapsed=11
[STEP 224] | timesteps=0 | ep_rew_mean=0.566 | ep_len_mean=13.680 | time_elapsed=10
[STEP 225] | timesteps=0 | ep_rew_mean=0.364 | ep_len_mean=14.790 | time_elapsed=10
[STEP 226] | timesteps=0 | ep_rew_mean=0.470 | ep_len_mean=9.240 | time_elapsed=10
[STEP 227] | timesteps=0 | ep_rew_mean=0.227 | ep_len_mean=8.890 | time_elapsed=10
[STEP 228] | timesteps=0 | ep_rew_mean=0.569 | ep_len_mean=10.570 | time_elapsed=10
[STEP 229] | timesteps=0 | ep_rew_mean=0.614 | ep_len_mean=9.810 | time_elapsed=10
[STEP 230] | timesteps=0 | ep_rew_mean=0.155 | ep_len_mean=8.990 | time_elapsed=10
[STEP 231] | timesteps=0 | ep_rew_mean=0.586 | ep_len_mean=9.940 | time_elapsed=10
[STEP 232] | timesteps=0 | ep_rew_mean=0.365 | ep_len_mean=10.260 | time_elapsed=10
[STEP 233] | timesteps=0 | ep_rew_mean=0.445 | ep_len_mean=8.750 | time_elapsed=10
[STEP 234] | timesteps=0 | ep_rew_mean=0.591 | ep_len_mean=9.950 | time_elapsed=10
[STEP 235] | timesteps=0 | ep_rew_mean=0.368 | ep_len_mean=9.870 | time_elapsed=10
[STEP 236] | timesteps=0 | ep_rew_mean=0.666 | ep_len_mean=9.720 | time_elapsed=10
[STEP 237] | timesteps=0 | ep_rew_mean=0.535 | ep_len_mean=10.990 | time_elapsed=10
[STEP 238] | timesteps=0 | ep_rew_mean=0.660 | ep_len_mean=9.490 | time_elapsed=10
[STEP 239] | timesteps=0 | ep_rew_mean=0.547 | ep_len_mean=12.920 | time_elapsed=11
[STEP 240] | timesteps=0 | ep_rew_mean=0.526 | ep_len_mean=9.440 | time_elapsed=10
[STEP 241] | timesteps=0 | ep_rew_mean=0.384 | ep_len_mean=8.810 | time_elapsed=10
[STEP 242] | timesteps=0 | ep_rew_mean=0.602 | ep_len_mean=11.660 | time_elapsed=11
[STEP 243] | timesteps=0 | ep_rew_mean=0.693 | ep_len_mean=11.360 | time_elapsed=10
[STEP 244] | timesteps=0 | ep_rew_mean=0.288 | ep_len_mean=9.850 | time_elapsed=10
[STEP 245] | timesteps=0 | ep_rew_mean=0.672 | ep_len_mean=9.650 | time_elapsed=10
[STEP 246] | timesteps=0 | ep_rew_mean=0.307 | ep_len_mean=10.400 | time_elapsed=10
[STEP 247] | timesteps=0 | ep_rew_mean=0.521 | ep_len_mean=13.960 | time_elapsed=6
[STEP 248] | timesteps=0 | ep_rew_mean=0.596 | ep_len_mean=13.180 | time_elapsed=6
[STEP 249] | timesteps=0 | ep_rew_mean=0.589 | ep_len_mean=13.550 | time_elapsed=6
[STEP 250] | timesteps=0 | ep_rew_mean=0.563 | ep_len_mean=12.360 | time_elapsed=6
[STEP 251] | timesteps=0 | ep_rew_mean=-0.451 | ep_len_mean=20.780 | time_elapsed=10
[STEP 252] | timesteps=0 | ep_rew_mean=-0.664 | ep_len_mean=19.680 | time_elapsed=11
[STEP 253] | timesteps=0 | ep_rew_mean=-0.733 | ep_len_mean=21.130 | time_elapsed=10
[STEP 254] | timesteps=0 | ep_rew_mean=-0.603 | ep_len_mean=22.420 | time_elapsed=10
[STEP 255] | timesteps=0 | ep_rew_mean=-0.522 | ep_len_mean=21.330 | time_elapsed=10
[STEP 256] | timesteps=0 | ep_rew_mean=-0.862 | ep_len_mean=22.870 | time_elapsed=10
[STEP 257] | timesteps=0 | ep_rew_mean=-0.592 | ep_len_mean=23.100 | time_elapsed=10
[STEP 258] | timesteps=0 | ep_rew_mean=-0.607 | ep_len_mean=22.620 | time_elapsed=10
[STEP 259] | timesteps=0 | ep_rew_mean=-0.455 | ep_len_mean=21.480 | time_elapsed=10
[STEP 260] | timesteps=0 | ep_rew_mean=-0.874 | ep_len_mean=21.440 | time_elapsed=10
[STEP 261] | timesteps=0 | ep_rew_mean=-0.644 | ep_len_mean=22.930 | time_elapsed=11
[STEP 262] | timesteps=0 | ep_rew_mean=-0.617 | ep_len_mean=22.090 | time_elapsed=10
[STEP 263] | timesteps=0 | ep_rew_mean=0.655 | ep_len_mean=10.480 | time_elapsed=10
[STEP 264] | timesteps=0 | ep_rew_mean=0.450 | ep_len_mean=10.740 | time_elapsed=10
[STEP 265] | timesteps=0 | ep_rew_mean=0.490 | ep_len_mean=11.240 | time_elapsed=10
[STEP 266] | timesteps=0 | ep_rew_mean=0.612 | ep_len_mean=10.400 | time_elapsed=10
