time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/value_loss
11,0.7378000000000001,1,6.86,185,37312512,0.2,-0.8610803753137588,-0.026549008046276867,0.379204124212265,0.06616842746734619,182180,0.0003,0.197265625,0.03261853,0.791050623357296
11,0.8490000000000001,1,6.55,184,37314560,0.2,-0.7350240334868431,-0.014555362495593726,0.06486669182777405,-0.16165697574615479,182190,0.0003,0.081982421875,0.009272945,0.2274392180144787
11,0.5750000000000002,1,6.0,184,37316608,0.2,-0.7224784851074219,-0.02119745227973908,0.2041366994380951,0.10328841209411621,182200,0.0003,0.1125,0.021728206,0.4250199146568775
11,0.4527999999999999,1,5.36,183,37318656,0.2,-0.7241706639528275,-0.024760456243529915,0.12019438296556473,0.16015350818634033,182210,0.0003,0.097265625,0.0224449,0.5374989688396454
11,0.2776,1,6.87,185,37320704,0.2,-0.6722249612212181,-0.022421143040992318,0.5481897592544556,0.08500057458877563,182220,0.0003,0.10927734375,0.016890014,1.108689048886299
11,0.7318000000000001,1,6.16,184,37322752,0.2,-1.1988122582435607,-0.041947623819578436,0.3548277020454407,0.266865611076355,182230,0.0003,0.20419921875,0.021739833,1.029012317955494
11,0.7684000000000001,1,6.08,184,37324800,0.2,-0.8410649552941323,-0.025406814203597604,0.056874826550483704,0.005436301231384277,182240,0.0003,0.165185546875,0.022388522,0.39482801854610444
11,0.6990000000000001,1,6.55,183,37326848,0.2,-0.6557104080915451,-0.01622443355154246,0.0961294174194336,0.1456126570701599,182250,0.0003,0.077685546875,0.015690807,0.32022286914289
11,0.7006,1,6.47,185,37328896,0.2,-1.1700682163238525,-0.03972970835166052,0.21322201192378998,0.2637019753456116,182260,0.0003,0.207275390625,0.030594397,0.626366900652647
11,0.4608,1,5.96,184,37330944,0.2,-0.6639299467206001,-0.01813938086852431,0.20138642191886902,0.044069111347198486,182270,0.0003,0.10185546875,0.024849638,0.46397140100598333
11,0.6754000000000001,1,5.48,183,37332992,0.2,-0.9229639232158661,-0.026099588442593812,0.40243077278137207,0.07239413261413574,182280,0.0003,0.13134765625,0.020079007,0.9586375683546067
11,0.7240000000000001,1,5.3,183,37335040,0.2,-0.8171695962548255,-0.024919766210950912,0.12433382868766785,0.18131232261657715,182290,0.0003,0.1390625,0.027105536,0.4825112663209438
11,0.7866000000000003,1,5.67,184,37337088,0.2,-0.7646197691559792,-0.022959412750788034,0.20084473490715027,0.1330319046974182,182300,0.0003,0.166796875,0.019198498,0.3948404222726822
10,0.7068000000000001,1,6.66,186,37339136,0.2,-0.7496966004371644,-0.02987505947239697,0.07021557539701462,0.08136957883834839,182310,0.0003,0.214990234375,0.024049178,0.30644124262034894
11,0.8312000000000002,1,5.19,185,37341184,0.2,-0.9510060772299767,-0.021411090367473663,0.09255465865135193,0.0870932936668396,182320,0.0003,0.16796875,0.023836005,0.2609851986169815
11,0.06960000000000002,1,6.27,185,37343232,0.2,-0.6021369233727455,-0.015529379434883594,0.11662193387746811,0.0649060606956482,182330,0.0003,0.118212890625,0.032606266,0.2414266375824809
11,0.7178,1,5.61,184,37345280,0.2,-0.9943440675735473,-0.03131611195858568,0.42113447189331055,0.12857604026794434,182340,0.0003,0.169873046875,0.02011954,1.0912311300635338
11,0.7678,1,5.36,184,37347328,0.2,-0.6695421010255813,-0.01633856144035235,0.20158015191555023,0.04184162616729736,182350,0.0003,0.07646484375,0.013352407,0.47805025763809683
11,0.8029999999999998,1,5.85,182,37349376,0.2,-0.6792849689722061,-0.018442286550998686,0.11418592184782028,0.02532249689102173,182360,0.0003,0.132421875,0.02207237,0.27788184471428395
11,0.7639999999999999,1,5.05,182,37351424,0.2,-0.6991112813353538,-0.018001108104363082,0.10658822953701019,0.05373203754425049,182370,0.0003,0.1458984375,0.016571416,0.31830778867006304
11,0.2078,1,6.36,186,37353472,0.2,-0.5949621826410294,-0.013482363941147924,0.12981504201889038,0.20565009117126465,182380,0.0003,0.093798828125,0.027371768,0.22832215204834938
11,0.7573999999999999,1,5.38,183,37355520,0.2,-1.102413848042488,-0.03164342127274722,0.3996196687221527,0.18241792917251587,182390,0.0003,0.190185546875,0.030771742,1.1326784074306488
11,0.5944,1,5.78,183,37357568,0.2,-0.657593683898449,-0.016614826512522995,0.14234629273414612,0.01784425973892212,182400,0.0003,0.13251953125,0.023109844,0.35371681973338126
11,0.05939999999999998,1,8.03,184,37359616,0.2,-0.6473682567477226,-0.015796499024145306,0.1925891637802124,0.13845837116241455,182410,0.0003,0.089208984375,0.02169216,0.47576724663376807
11,0.2234,1,6.83,186,37361664,0.2,-1.2976122349500656,-0.03211548386607319,0.4973944425582886,0.11910361051559448,182420,0.0003,0.14619140625,0.023481118,1.135470423102379
11,0.5348,1,6.26,185,37363712,0.2,-1.1228454887866974,-0.03262126927729696,0.24429576098918915,0.14644545316696167,182430,0.0003,0.170751953125,0.030662319,0.6744473367929459
11,-0.5993999999999999,1,6.22,184,37365760,0.2,-0.9034427955746651,-0.025687089783605187,0.23628050088882446,0.13092750310897827,182440,0.0003,0.157275390625,0.018539874,0.5930363588035107
11,0.6820000000000002,1,6.65,183,37367808,0.2,-0.9610310792922974,-0.01820747726596892,1.0403552055358887,0.04407435655593872,182450,0.0003,0.1212890625,0.026211306,2.4138863146305085
11,0.8012,1,6.44,185,37369856,0.2,-0.9674911499023438,-0.021704306779429316,0.11721143126487732,0.16365545988082886,182460,0.0003,0.128759765625,0.021067027,0.41746468991041186
10,-0.5268,1,11.09,187,37371904,0.2,-0.9285016506910324,-0.02367594144307077,0.07637155801057816,-0.09832286834716797,182470,0.0003,0.12080078125,0.01383477,0.2952561222016811
11,-0.35519999999999996,1,7.01,184,37373952,0.2,-1.7027497231960296,-0.030492833128664642,0.5204618573188782,0.0206911563873291,182480,0.0003,0.13564453125,0.02302866,1.4725498855113983
11,0.5574,1,6.88,184,37376000,0.2,-0.9945229738950729,-0.024633183318655938,0.9187014698982239,0.07006889581680298,182490,0.0003,0.127587890625,0.020890275,1.8956086486577988
11,0.08380000000000003,1,6.31,185,37378048,0.2,-1.0550435125827788,-0.022881280921865255,0.22375896573066711,-0.0022422075271606445,182500,0.0003,0.139990234375,0.0177822,0.6126411102712155
11,0.558,1,6.85,185,37380096,0.2,-0.8874052986502647,-0.02405928773805499,0.7837232947349548,0.22546428442001343,182510,0.0003,0.149951171875,0.02310086,1.6598461151123047
11,0.7794,1,5.53,184,37382144,0.2,-1.1657683283090592,-0.027085132757201792,0.07195834070444107,0.13685649633407593,182520,0.0003,0.20537109375,0.02797819,0.37620319053530693
10,0.8106,1,7.22,187,37384192,0.2,-0.5991301894187927,-0.020536971255205573,0.1217336654663086,0.10333114862442017,182530,0.0003,0.09208984375,0.020041192,0.3822901792824268
11,0.7525999999999999,1,6.87,185,37386240,0.2,-1.168882790207863,-0.026051682676188646,0.051943354308605194,0.10043829679489136,182540,0.0003,0.175390625,0.021206375,0.22099927589297294
