time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
17930240,12.84,189,10,1,-0.69031467,0.2,0.210009765625,1.7114400148391724,0.022889141,87540,0.6708411574363708,0.0003,0.2636082172393799,-2.2684106171131133,-0.03868285769131034
17932288,13.23,188,10,1,-0.94335549,0.2,0.213623046875,1.5790369749069213,0.022895005,87550,0.6120493412017822,0.0003,0.16913700103759766,-2.362732720375061,-0.03896307826507837
17934336,12.91,186,10,1,-0.6942530100000002,0.2,0.19375,1.5225334644317627,0.02354462,87560,0.615571916103363,0.0003,0.25666332244873047,-2.43982852101326,-0.03892324382904917
17936384,13.39,185,11,1,-0.8087862299999999,0.2,0.182470703125,1.214993566274643,0.019708924,87570,0.4410627484321594,0.0003,0.33282965421676636,-2.36647424697876,-0.040019276179373266
17938432,13.28,190,10,1,-0.46132650999999997,0.2,0.202490234375,1.3470742255449295,0.023626672,87580,0.5710899233818054,0.0003,0.3029244542121887,-2.441935670375824,-0.0398488154867664
17940480,12.91,191,10,1,-0.7140826,0.2,0.173388671875,1.269265803694725,0.020479638,87590,0.5094779133796692,0.0003,0.24925446510314941,-2.3692855715751646,-0.03817812160123139
17942528,10.46,332,6,1,1.09853946,0.2,0.192041015625,1.0942392960190772,0.021739036,87600,0.411673903465271,0.0003,0.3897938132286072,-2.373565125465393,-0.040278238547034564
17944576,10.63,329,6,1,0.8595781400000001,0.2,0.17294921875,0.6528028316795826,0.023406131,87610,0.11371038854122162,0.0003,-0.635215163230896,-1.978575384616852,-0.03495768790598959
17946624,11.79,329,6,1,1.11182698,0.2,0.225634765625,0.5839071132242679,0.03314621,87620,0.10541720688343048,0.0003,-0.0307466983795166,-2.0773029148578646,-0.04280745362630114
17948672,11.37,328,6,1,0.93239806,0.2,0.21533203125,0.3411221023648977,0.024000833,87630,0.014332473278045654,0.0003,0.031259894371032715,-2.0944527685642242,-0.04630538917845115
17950720,9.6,187,10,1,-0.10713367000000001,0.2,0.221142578125,0.5987888187170028,0.023537394,87640,0.08293140679597855,0.0003,0.026155412197113037,-2.1206563889980314,-0.04276900768745691
