time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range
92160,1,25.39,-0.33294739999999995,329,6,-0.10377562046051025,-4.311868607997894,0.075341796875,0.0003,0.4848710935562849,0.011113849,440,-0.03311123442836106,-0.14135926961898804,0.2
94208,1,26.05,-0.6920525099999999,333,6,-0.12379443645477295,-4.293446409702301,0.06845703125,0.0003,0.4284093376249075,0.010768244,450,-0.03019994015339762,-0.13964203000068665,0.2
96256,1,25.14,-0.37490821,327,6,-0.03582286834716797,-4.290751433372497,0.060009765625,0.0003,0.541284454613924,0.009667747,460,-0.024450187257025392,-0.07295884191989899,0.2
98304,1,24.67,-0.44407706999999996,336,6,-0.05118763446807861,-4.331944918632507,0.073876953125,0.0003,0.4498577080667019,0.01230024,470,-0.0340247014304623,-0.1558966487646103,0.2
100352,1,25.21,-0.45971123999999997,336,6,0.021771728992462158,-4.336783397197723,0.090087890625,0.0003,0.397970587015152,0.011516404,480,-0.03436721777543426,-0.148814857006073,0.2
102400,1,24.55,-0.35721665,328,6,-0.24248790740966797,-4.327743411064148,0.065185546875,0.0003,0.47904366850852964,0.0099902265,490,-0.02828861977905035,-0.11917753517627716,0.2
104448,1,25.11,-0.32001588,330,6,-0.010465383529663086,-4.3179151773452755,0.070849609375,0.0003,0.44504599533975125,0.010595177,500,-0.03174556514713913,-0.13841360807418823,0.2
106496,1,24.75,-0.53612946,321,6,-0.13565552234649658,-4.296362674236297,0.09619140625,0.0003,0.6557529848068953,0.012377022,510,-0.03549766092328355,-0.105595164000988,0.2
108544,1,24.46,-0.15266342999999996,333,6,0.1728937029838562,-4.299667847156525,0.067578125,0.0003,0.5756025895476341,0.0109356865,520,-0.028922713990323246,-0.06367190182209015,0.2
110592,1,22.69,-0.15962956999999997,330,6,-0.037996888160705566,-4.2752206206321715,0.048583984375,0.0003,0.5574795983731746,0.008303647,530,-0.025662075809668748,-0.10570923984050751,0.2
112640,1,23.92,-0.36279491,330,6,-0.2654142379760742,-4.310936439037323,0.0744140625,0.0003,0.569642074406147,0.011357881,540,-0.031159865902736783,-0.059549182653427124,0.2
114688,1,23.91,-0.45039415,332,6,0.2077694535255432,-4.255387413501739,0.08623046875,0.0003,0.4115585535764694,0.011928454,550,-0.03525102471467108,-0.13934454321861267,0.2
116736,1,23.79,-0.48635807999999997,329,6,0.2405676245689392,-4.229324173927307,0.054638671875,0.0003,0.4845927283167839,0.010375455,560,-0.0315980936633423,-0.10278613865375519,0.2
118784,1,23.23,-0.17614226999999996,332,6,0.3420727849006653,-4.205172491073609,0.063330078125,0.0003,0.4544517282396555,0.0108590005,570,-0.031498774187639356,-0.12521547079086304,0.2
120832,1,21.61,0.09269559,329,6,0.2319326400756836,-4.228405559062958,0.098095703125,0.0003,0.37621662989258764,0.014134733,580,-0.03460005454253405,-0.14774876832962036,0.2
122880,1,21.52,-0.18281783999999995,316,6,0.28279632329940796,-4.235605466365814,0.0873046875,0.0003,0.39808604680001736,0.01125129,590,-0.032953481166623534,-0.16070005297660828,0.2
124928,1,21.4,0.07019057999999996,307,6,0.23342329263687134,-4.22076678276062,0.074755859375,0.0003,0.5245697669684887,0.013115665,600,-0.03137154916767031,-0.10994115471839905,0.2
126976,1,20.67,0.10318022999999997,310,6,0.013865172863006592,-4.161852383613587,0.10478515625,0.0003,0.4963013671338558,0.012435038,610,-0.035671720770187675,-0.12430398166179657,0.2
