MODEL 10500 vs ALL
GAMES_PER_OPPONENT=100

ppo_model_6800.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:8.4
ppo_model_6850.zip | W:60 L:40 D:0 | WR:60.00% | AVG_STEPS:8.4
ppo_model_6900.zip | W:73 L:27 D:0 | WR:73.00% | AVG_STEPS:8.1
ppo_model_6950.zip | W:61 L:39 D:0 | WR:61.00% | AVG_STEPS:9.3
ppo_model_700.zip | W:77 L:23 D:0 | WR:77.00% | AVG_STEPS:10.4
ppo_model_7000.zip | W:37 L:63 D:0 | WR:37.00% | AVG_STEPS:6.3
ppo_model_7050.zip | W:43 L:57 D:0 | WR:43.00% | AVG_STEPS:8.0
ppo_model_7100.zip | W:50 L:50 D:0 | WR:50.00% | AVG_STEPS:8.7
ppo_model_7150.zip | W:31 L:69 D:0 | WR:31.00% | AVG_STEPS:6.3
ppo_model_7200.zip | W:40 L:60 D:0 | WR:40.00% | AVG_STEPS:6.8
ppo_model_7250.zip | W:35 L:65 D:0 | WR:35.00% | AVG_STEPS:6.6
ppo_model_7300.zip | W:60 L:40 D:0 | WR:60.00% | AVG_STEPS:8.8
ppo_model_7350.zip | W:67 L:33 D:0 | WR:67.00% | AVG_STEPS:6.7
ppo_model_7400.zip | W:60 L:40 D:0 | WR:60.00% | AVG_STEPS:6.9
ppo_model_7450.zip | W:73 L:27 D:0 | WR:73.00% | AVG_STEPS:9.1
ppo_model_750.zip | W:81 L:19 D:0 | WR:81.00% | AVG_STEPS:9.5
ppo_model_7500.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:7.2
ppo_model_7550.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:9.7
ppo_model_7600.zip | W:70 L:30 D:0 | WR:70.00% | AVG_STEPS:8.6
ppo_model_7650.zip | W:60 L:40 D:0 | WR:60.00% | AVG_STEPS:7.4
ppo_model_7700.zip | W:77 L:23 D:0 | WR:77.00% | AVG_STEPS:7.8
ppo_model_7750.zip | W:46 L:54 D:0 | WR:46.00% | AVG_STEPS:6.9
ppo_model_7800.zip | W:52 L:48 D:0 | WR:52.00% | AVG_STEPS:8.3
ppo_model_7850.zip | W:25 L:75 D:0 | WR:25.00% | AVG_STEPS:4.8
ppo_model_7900.zip | W:35 L:65 D:0 | WR:35.00% | AVG_STEPS:6.5
ppo_model_7950.zip | W:42 L:58 D:0 | WR:42.00% | AVG_STEPS:8.4
ppo_model_800.zip | W:91 L:9 D:0 | WR:91.00% | AVG_STEPS:9.1
ppo_model_8000.zip | W:49 L:51 D:0 | WR:49.00% | AVG_STEPS:7.5
ppo_model_8050.zip | W:32 L:68 D:0 | WR:32.00% | AVG_STEPS:7.0
ppo_model_8100.zip | W:54 L:46 D:0 | WR:54.00% | AVG_STEPS:6.7
ppo_model_8150.zip | W:47 L:53 D:0 | WR:47.00% | AVG_STEPS:7.8
ppo_model_8200.zip | W:30 L:70 D:0 | WR:30.00% | AVG_STEPS:6.5
ppo_model_8250.zip | W:48 L:52 D:0 | WR:48.00% | AVG_STEPS:5.9
ppo_model_8300.zip | W:63 L:37 D:0 | WR:63.00% | AVG_STEPS:6.5
ppo_model_8350.zip | W:64 L:36 D:0 | WR:64.00% | AVG_STEPS:7.3
ppo_model_8400.zip | W:45 L:55 D:0 | WR:45.00% | AVG_STEPS:7.2
ppo_model_8450.zip | W:45 L:55 D:0 | WR:45.00% | AVG_STEPS:6.8
ppo_model_850.zip | W:88 L:12 D:0 | WR:88.00% | AVG_STEPS:9.0
ppo_model_8500.zip | W:51 L:49 D:0 | WR:51.00% | AVG_STEPS:8.0
ppo_model_8550.zip | W:54 L:46 D:0 | WR:54.00% | AVG_STEPS:8.7
ppo_model_8600.zip | W:59 L:41 D:0 | WR:59.00% | AVG_STEPS:9.2
ppo_model_8650.zip | W:55 L:45 D:0 | WR:55.00% | AVG_STEPS:7.0
ppo_model_8751.zip | W:65 L:35 D:0 | WR:65.00% | AVG_STEPS:7.7
ppo_model_8800.zip | W:48 L:52 D:0 | WR:48.00% | AVG_STEPS:8.0
ppo_model_8900.zip | W:47 L:53 D:0 | WR:47.00% | AVG_STEPS:10.6
ppo_model_900.zip | W:92 L:8 D:0 | WR:92.00% | AVG_STEPS:8.0
ppo_model_9000.zip | W:43 L:57 D:0 | WR:43.00% | AVG_STEPS:9.7
ppo_model_9100.zip | W:83 L:17 D:0 | WR:83.00% | AVG_STEPS:13.8
ppo_model_9200.zip | W:73 L:27 D:0 | WR:73.00% | AVG_STEPS:13.4
ppo_model_9300.zip | W:45 L:55 D:0 | WR:45.00% | AVG_STEPS:10.3
ppo_model_9400.zip | W:57 L:43 D:0 | WR:57.00% | AVG_STEPS:11.6
ppo_model_950.zip | W:74 L:26 D:0 | WR:74.00% | AVG_STEPS:9.7
ppo_model_9500.zip | W:95 L:5 D:0 | WR:95.00% | AVG_STEPS:14.9
ppo_model_9600.zip | W:92 L:8 D:0 | WR:92.00% | AVG_STEPS:15.0
ppo_model_9700.zip | W:90 L:10 D:0 | WR:90.00% | AVG_STEPS:15.6
ppo_model_9800.zip | W:97 L:3 D:0 | WR:97.00% | AVG_STEPS:13.4
ppo_model_9900.zip | W:84 L:16 D:0 | WR:84.00% | AVG_STEPS:14.4

DONE
